iter	CrossEntropy
0	0.6889906126
1	0.6857445623
2	0.6815281592
3	0.6771367231
4	0.6733456362
5	0.6698399987
6	0.6662168631
7	0.662215795
8	0.6590300917
9	0.654860882
10	0.6521029904
11	0.648762243
12	0.6453589719
13	0.6420903902
14	0.638736285
15	0.6356438694
16	0.6322113386
17	0.629628482
18	0.6265878195
19	0.6242437321
20	0.6220153713
21	0.6195528681
22	0.6169502961
23	0.6146899446
24	0.6120499342
25	0.6097490777
26	0.6070481878
27	0.6044503248
28	0.6019343605
29	0.5995357239
30	0.5975203239
31	0.5954433062
32	0.5933129769
33	0.5915032616
34	0.5891449288
35	0.5870529959
36	0.5851599688
37	0.5829629026
38	0.5809040976
39	0.5792256107
40	0.5775910775
41	0.575580767
42	0.5735171477
43	0.5715021927
44	0.5699372817
45	0.5683547032
46	0.5665164698
47	0.5651541962
48	0.5635555783
49	0.5619161037
50	0.5600838536
51	0.5588432632
52	0.557501068
53	0.5560592256
54	0.5545709346
55	0.5529010683
56	0.5514787492
57	0.550022368
58	0.5489958557
59	0.5474981803
60	0.5460673404
61	0.5448301383
62	0.5437483502
63	0.5424194065
64	0.5411259039
65	0.5399489915
66	0.5387631203
67	0.5377968873
68	0.5368363525
69	0.5357314929
70	0.5345844401
71	0.5337449558
72	0.5327042608
73	0.531753628
74	0.5309305079
75	0.5299271183
76	0.5290939378
77	0.5282341953
78	0.5271647081
79	0.5262800133
80	0.5252099637
81	0.5243711885
82	0.5234576127
83	0.5224154724
84	0.5217317243
85	0.5208120617
86	0.5201140571
87	0.5192299774
88	0.5185056185
89	0.5175348681
90	0.51689593
91	0.516037997
92	0.5153962723
93	0.5146898741
94	0.5137262072
95	0.5128829537
96	0.5121472387
97	0.5115435937
98	0.5108674722
99	0.5102601321
100	0.5096552308
101	0.5089449308
102	0.5083854349
103	0.5078291401
104	0.5071586456
105	0.5066104126
106	0.5060542733
107	0.5055690893
108	0.5050754703
109	0.5045008142
110	0.5039233962
111	0.5034559683
112	0.5029491667
113	0.5023077936
114	0.501908722
115	0.501143726
116	0.5004746995
117	0.5000132222
118	0.4993601456
119	0.498918316
120	0.4983714065
121	0.4978083116
122	0.4971696034
123	0.4966875501
124	0.496206236
125	0.4956983194
126	0.4951552836
127	0.4946546694
128	0.4942013423
129	0.4936740494
130	0.4933475512
131	0.4929466355
132	0.49260581
133	0.4921947638
134	0.4918084502
135	0.4913914872
136	0.4908722119
137	0.4904185864
138	0.490097449
139	0.4897234566
140	0.4893703495
141	0.4890776231
142	0.4886545323
143	0.4881626448
144	0.4878556021
145	0.4875549601
146	0.487109498
147	0.4867218656
148	0.4862935807
149	0.4859924214
150	0.4856494939
151	0.4853641724
152	0.4850152941
153	0.484770126
154	0.4845175261
155	0.4841881684
156	0.4838530103
157	0.4834285497
158	0.4831891522
159	0.4828789976
160	0.4825415021
161	0.482171735
162	0.4818034331
163	0.481523796
164	0.4811433698
165	0.480902945
166	0.4805048889
167	0.4802263762
168	0.4799177842
169	0.4795398385
170	0.4792592344
171	0.4790355451
172	0.4787724215
173	0.4785403624
174	0.4782220633
175	0.477962671
176	0.4777322732
177	0.4775338808
178	0.4771748799
179	0.4768838022
180	0.4765661091
181	0.4763825922
182	0.4761833746
183	0.475843279
184	0.4755356121
185	0.4752087564
186	0.4749286967
187	0.474698727
188	0.4743619178
189	0.4740841925
190	0.473789629
191	0.4734761754
192	0.4731734034
193	0.472837845
194	0.4725228106
195	0.4722852161
196	0.4720292794
197	0.4717242563
198	0.4714288007
199	0.471122436
200	0.4708091192
201	0.470558831
202	0.4703055307
203	0.4700090778
204	0.4697467414
205	0.4695811323
206	0.4693237556
207	0.4691229404
208	0.4689312242
209	0.4687957077
210	0.4686134455
211	0.4683254243
212	0.4680636922
213	0.4679548769
214	0.4676491443
215	0.4674936045
216	0.4673210288
217	0.4671178611
218	0.4668280198
219	0.4665936197
220	0.4664427064
221	0.4662039155
222	0.4660181869
223	0.4658082504
224	0.4656761106
225	0.4654454947
226	0.4652064432
227	0.4650495115
228	0.4648694751
229	0.4646851217
230	0.464525069
231	0.4643452565
232	0.4642063691
233	0.4640970609
234	0.463860684
235	0.4637386293
236	0.463636372
237	0.4634801813
238	0.4633556451
239	0.4631853686
240	0.4630821427
241	0.4628792284
242	0.4627027345
243	0.462534083
244	0.4623833221
245	0.4622135323
246	0.4621024311
247	0.4618961762
248	0.4617376862
249	0.4616040239
250	0.4614461741
251	0.4613166636
252	0.4611662191
253	0.4609738326
254	0.4608123204
255	0.460656783
256	0.4605501461
257	0.4604049585
258	0.46027507
259	0.4601650854
260	0.4599431619
261	0.4597813382
262	0.4596197203
263	0.4595242524
264	0.4593957605
265	0.4592062438
266	0.4590825553
267	0.4589448314
268	0.458854152
269	0.4587775301
270	0.458676481
271	0.4585271064
272	0.4583920683
273	0.4582612546
274	0.4581315173
275	0.4580231094
276	0.4578990729
277	0.4577925065
278	0.4576867986
279	0.4575311811
280	0.4574231781
281	0.4572331523
282	0.4571381774
283	0.4570195941
284	0.4568574374
285	0.4566994266
286	0.4565759194
287	0.4564509371
288	0.4563407405
289	0.4562106641
290	0.4560579257
291	0.4559181682
292	0.4558318605
293	0.4557255318
294	0.4555804934
295	0.4554344648
296	0.4553619213
297	0.4552183741
298	0.4551328507
299	0.4549760526
300	0.4548142836
301	0.4546513914
302	0.4545513008
303	0.4544144123
304	0.454347633
305	0.4542230218
306	0.4541796087
307	0.4540840531
308	0.4539658409
309	0.4538238721
310	0.45373516
311	0.453651737
312	0.4535060514
313	0.4533684838
314	0.4532252072
315	0.4531429481
316	0.4530538963
317	0.452966289
318	0.4528419845
319	0.4527681875
320	0.4526666849
321	0.4525396914
322	0.4524770493
323	0.4523800773
324	0.4522455202
325	0.4521337933
326	0.4520795934
327	0.4519950441
328	0.451921184
329	0.4517726927
330	0.451729915
331	0.4516594523
332	0.4515326008
333	0.451450838
334	0.4513739379
335	0.4512723601
336	0.451111429
337	0.45098891
338	0.4508725695
339	0.4507544169
340	0.4506317918
341	0.4505515167
342	0.4504701358
343	0.4503629009
344	0.4502261688
345	0.4501221691
346	0.4500637177
347	0.4499346929
348	0.4498011723
349	0.4497071526
350	0.4495697274
351	0.4494309024
352	0.4493310519
353	0.4492122354
354	0.4490921675
355	0.4489856249
356	0.4488598898
357	0.4487801953
358	0.4487184938
359	0.4486008196
360	0.4484665531
361	0.4484022971
362	0.4483216732
363	0.4482517242
364	0.4481882399
365	0.4480817799
366	0.4480122053
367	0.4479140061
368	0.4478812897
369	0.4477604664
370	0.4476504246
371	0.4475763666
