iter	Passed	Remaining
0	7	8137
1	15	8227
2	23	8339
3	30	8030
4	37	7820
5	41	7276
6	48	7184
7	54	7168
8	62	7207
9	69	7284
10	75	7188
11	82	7162
12	88	7045
13	96	7124
14	104	7209
15	110	7151
16	115	7054
17	122	7054
18	129	7047
19	136	7026
20	141	6949
21	147	6892
22	153	6848
23	160	6860
24	166	6850
25	172	6803
26	178	6784
27	185	6771
28	192	6799
29	200	6844
30	209	6885
31	215	6875
32	221	6836
33	229	6858
34	235	6850
35	242	6840
36	249	6849
37	257	6860
38	263	6854
39	270	6847
40	277	6835
41	284	6847
42	291	6841
43	298	6830
44	305	6833
45	313	6848
46	322	6901
47	329	6883
48	336	6897
49	343	6887
50	350	6879
51	357	6881
52	364	6871
53	374	6914
54	382	6934
55	390	6942
56	397	6946
57	405	6956
58	413	6951
59	421	6968
60	428	6968
61	435	6951
62	442	6949
63	450	6950
64	458	6967
65	467	6980
66	473	6967
67	480	6953
68	487	6946
69	495	6953
70	502	6944
71	515	7022
72	522	7012
73	530	7009
74	537	7005
75	543	6985
76	551	6977
77	558	6977
78	567	6986
79	574	6976
80	580	6963
81	588	6960
82	597	6976
83	604	6971
84	612	6969
85	622	6990
86	629	6978
87	636	6972
88	643	6964
89	652	6970
90	661	6980
91	671	7008
92	679	7006
93	688	7014
94	696	7014
95	704	7014
96	711	7003
97	718	6995
98	725	6985
99	732	6975
100	739	6961
101	746	6957
102	754	6955
103	763	6963
104	770	6945
105	776	6933
106	785	6933
107	793	6931
108	800	6926
109	807	6918
110	816	6917
111	823	6912
112	831	6910
113	838	6902
114	847	6904
115	856	6909
116	865	6913
117	871	6901
118	879	6894
119	888	6901
120	896	6899
121	904	6894
122	912	6889
123	920	6892
124	928	6883
125	935	6873
126	943	6869
127	950	6862
128	957	6851
129	964	6843
130	973	6845
131	981	6842
132	992	6860
133	1002	6865
134	1010	6862
135	1017	6854
136	1024	6842
137	1031	6834
138	1043	6852
139	1051	6848
140	1059	6848
141	1067	6843
142	1076	6841
143	1083	6835
144	1091	6828
145	1100	6830
146	1108	6821
147	1117	6827
148	1127	6831
149	1135	6827
150	1143	6823
151	1152	6823
152	1160	6821
153	1169	6819
154	1178	6821
155	1186	6812
156	1194	6808
157	1202	6803
158	1211	6802
159	1218	6792
160	1228	6800
161	1237	6799
162	1245	6794
163	1253	6788
164	1260	6776
165	1268	6772
166	1276	6764
167	1284	6759
168	1292	6752
169	1301	6751
170	1309	6746
171	1318	6745
172	1326	6740
173	1333	6730
174	1343	6730
175	1349	6717
176	1357	6712
177	1366	6707
178	1374	6702
179	1382	6695
180	1389	6688
181	1396	6674
182	1402	6658
183	1408	6646
184	1416	6638
185	1423	6627
186	1429	6613
187	1436	6600
188	1442	6588
189	1450	6580
190	1458	6574
191	1466	6567
192	1472	6555
193	1481	6553
194	1488	6541
195	1494	6528
196	1500	6510
197	1508	6505
198	1515	6494
199	1524	6495
200	1532	6489
201	1540	6482
202	1547	6473
203	1555	6466
204	1563	6457
205	1570	6447
206	1579	6448
207	1587	6440
208	1595	6436
209	1602	6423
210	1609	6414
211	1615	6402
212	1622	6391
213	1628	6375
214	1636	6370
215	1642	6358
216	1649	6347
217	1657	6341
218	1665	6335
219	1673	6327
220	1680	6317
221	1689	6314
222	1697	6311
223	1705	6304
224	1714	6300
225	1720	6289
226	1728	6281
227	1739	6288
228	1747	6278
229	1753	6267
230	1761	6259
231	1769	6255
232	1777	6246
233	1785	6241
234	1792	6232
235	1801	6228
236	1810	6224
237	1818	6219
238	1827	6215
239	1835	6208
240	1843	6204
241	1851	6196
242	1859	6189
243	1866	6180
244	1874	6173
245	1881	6165
246	1890	6161
247	1898	6155
248	1908	6155
249	1917	6150
250	1924	6142
251	1933	6138
252	1941	6131
253	1949	6124
254	1957	6117
255	1965	6110
256	1973	6104
257	1981	6097
258	1989	6090
259	1996	6082
260	2004	6074
261	2012	6067
262	2020	6060
263	2027	6052
264	2033	6040
265	2041	6032
266	2048	6022
267	2056	6014
268	2063	6005
269	2071	6000
270	2079	5991
271	2086	5982
272	2094	5976
273	2103	5972
274	2110	5964
275	2117	5953
276	2126	5948
277	2132	5938
278	2140	5931
279	2147	5921
280	2156	5915
281	2164	5909
282	2172	5903
283	2181	5899
284	2189	5892
285	2196	5883
286	2204	5877
287	2214	5874
288	2221	5865
289	2229	5859
290	2238	5854
291	2251	5861
292	2259	5852
293	2268	5847
294	2284	5862
295	2292	5854
296	2299	5845
297	2307	5837
298	2315	5830
299	2322	5822
300	2332	5818
301	2340	5812
302	2348	5806
303	2356	5798
304	2364	5790
305	2372	5783
306	2377	5768
307	2385	5761
308	2393	5755
309	2401	5747
310	2409	5740
311	2418	5737
312	2427	5732
313	2436	5726
314	2443	5716
315	2451	5710
316	2458	5700
317	2467	5694
318	2474	5686
319	2482	5679
320	2490	5671
321	2498	5664
322	2508	5660
323	2517	5655
324	2525	5650
325	2535	5647
326	2543	5639
327	2550	5629
328	2558	5622
329	2566	5615
330	2574	5608
331	2584	5604
332	2591	5595
333	2598	5586
334	2606	5577
335	2613	5568
336	2621	5562
337	2628	5553
338	2636	5545
339	2644	5537
340	2651	5527
341	2658	5519
342	2666	5512
343	2675	5505
344	2685	5502
345	2692	5494
346	2700	5487
347	2708	5478
348	2717	5473
349	2723	5463
350	2732	5456
351	2740	5449
352	2746	5439
353	2753	5428
354	2761	5422
355	2769	5414
356	2777	5406
357	2784	5397
358	2792	5389
359	2800	5383
360	2808	5376
361	2819	5373
362	2828	5368
363	2836	5361
364	2844	5353
365	2852	5346
366	2860	5339
367	2869	5332
368	2877	5326
369	2885	5318
370	2892	5309
371	2898	5298
372	2906	5290
373	2912	5279
374	2919	5270
375	2926	5262
376	2930	5247
377	2936	5235
378	2943	5226
379	2951	5218
380	2958	5209
381	2965	5200
382	2972	5192
383	2981	5187
384	2989	5180
385	2999	5174
386	3006	5165
387	3014	5158
388	3021	5149
389	3029	5141
390	3036	5133
391	3044	5125
392	3052	5118
393	3058	5107
394	3065	5099
395	3074	5093
396	3079	5081
397	3086	5072
398	3095	5066
399	3103	5059
400	3110	5050
401	3117	5041
402	3124	5032
403	3131	5023
404	3139	5016
405	3147	5008
406	3154	4999
407	3161	4990
408	3168	4981
409	3173	4968
410	3180	4961
411	3188	4952
412	3195	4944
413	3202	4935
414	3211	4929
415	3218	4920
416	3225	4911
417	3232	4903
418	3241	4896
419	3248	4888
420	3256	4881
421	3263	4871
422	3271	4865
423	3279	4857
424	3285	4847
425	3292	4838
426	3300	4830
427	3308	4824
428	3317	4817
429	3324	4809
430	3330	4799
431	3338	4790
432	3345	4782
433	3352	4774
434	3359	4764
435	3366	4756
436	3373	4747
437	3380	4739
438	3387	4729
439	3395	4722
440	3403	4715
441	3409	4706
442	3418	4699
443	3426	4691
444	3431	4680
445	3440	4674
446	3446	4665
447	3454	4657
448	3462	4649
449	3469	4640
450	3476	4633
451	3484	4625
452	3491	4616
453	3501	4612
454	3508	4603
455	3515	4594
456	3522	4586
457	3530	4578
458	3533	4565
459	3542	4558
460	3550	4551
461	3558	4543
462	3567	4537
463	3573	4529
464	3582	4522
465	3589	4513
466	3596	4505
467	3604	4498
468	3614	4492
469	3622	4485
470	3629	4476
471	3636	4468
472	3642	4458
473	3647	4448
474	3655	4440
475	3661	4430
476	3668	4422
477	3676	4415
478	3684	4408
479	3693	4401
480	3699	4391
481	3706	4382
482	3713	4374
483	3724	4370
484	3729	4359
485	3737	4352
486	3743	4343
487	3751	4335
488	3758	4327
489	3766	4320
490	3773	4311
491	3780	4302
492	3788	4295
493	3795	4287
494	3802	4278
495	3812	4273
496	3819	4265
497	3826	4257
498	3833	4248
499	3838	4237
500	3846	4230
501	3854	4223
502	3862	4215
503	3870	4208
504	3876	4199
505	3885	4192
506	3893	4184
507	3901	4177
